"","V1"
"aaa",0.0492281804312985
"aad",0.0868596609279312
"aarp",0.202904002828242
"aarti",0.0449296529564941
"aba",0.254812942675538
"abacus",0.177088355784148
"abandon",0.206887621521235
"abbyy",0.118915193622434
"abc",0.0725988931028325
"aberdeen",0.0353066347249088
"abi",0.0404546869425413
"ability",0.0212287875671133
"abl",0.0701566896884774
"abn",0.0397776825412716
"about",0.0460482266725588
"abra",0.0510557028295548
"abraham",0.138898720389326
"abs",0.0718679759828545
"absence",0.252557444901354
"absolute",0.116451441683306
"abstractions",0.43271042428559
"abt",0.129603055505269
"abu",0.038939392197837
"aca",0.0718830669671133
"academic",0.0479819106351666
"academies",0.0576397706963525
"academy",0.0400992047424827
"acar",0.0982189573976566
"acca",0.141609875423156
"accel",0.0357935842840882
"accelerate",0.0332893821000326
"accelerated",0.146517843893562
"accelerating",0.0587554683905402
"acceleration",0.0463067509589835
"accelerator",0.0591670701701217
"accelerators",0.239233336734281
"accept",0.0441696821256894
"acceptance",0.0741622051833967
"access",0.0270303254953019
"accessibility",0.0911836283010412
"accessory",0.0688358140529696
"accessto",0.171674894206775
"accident",0.0797856287870837
"accolade",0.0859992934724544
"accommodation",0.0864958493601479
"accompany",0.133401702738245
"accomplice",0.101125275313675
"accomplish",0.08224235414144
"accomplishment",0.0913307983795051
"accord",0.0481615390070091
"accords",0.138898720389326
"account",0.0246050599467942
"accountability",0.0704693099383351
"accountable",0.143592392744985
"accountancy",0.0269160054199829
"accountant",0.0494794054327906
"accountants",0.0266347105959904
"accountholders",0.129623168915701
"accounting",0.0208403100572316
"accounts",0.0599299984247806
"accredit",0.0300039256542682
"accreditation",0.0696796070474093
"accuracy",0.0366127195661558
"accurate",0.0441474572823735
"accusation",0.117727135347307
"ach",0.0258849337116432
"achieve",0.0315640452736175
"achilles",0.0404436520663255
"aci",0.0274650154971346
"acknowledge",0.13023464746724
"aclu",0.0510874159778964
"acme",0.0343906058940005
"acn",0.101301163795122
"acorn",0.0659289730462748
"acquire",0.0263381495497184
"acquirers",0.164033853125372
"acquiring",0.0639645984434589
"acquisition",0.0199259572340493
"acquisitions",0.0938151709222507
"acrobat",0.20790641437944
"acronym",0.0455118281434319
"across",0.0441673889197946
"act",0.02320707179919
"acting",0.0550034272875021
"action",0.0164059890298234
"actions",0.129163497589317
"activate",0.319626701695493
"active",0.0249753656336354
"activity",0.0616424017950772
"actuarial",0.185233760214788
"acuity",0.0437853917679272
"acyclic",0.0335586864155535
"ad",0.0403008638352039
"ada",0.0328224609499309
"adage",0.0642064161277003
"adapt",0.0393030730669425
"adaptation",0.0849979531187029
"adaptive",0.238292699637028
"adb",0.0423481927559848
"adblock",0.0556684860177282
"add",0.021788515058871
"added",0.0933775113665016
"addenda",0.0667340683115476
"adding",0.111860661957932
"addition",0.0466546865272905
"address",0.0228818319276671
"ade",0.190824055587123
"adequate",0.0596257421812713
"adhere",0.149871296189963
"adi",0.26054383142754
"adidas",0.127077252946884
"adios",0.0923651880701666
"adjacent",0.163939338505743
"admin",0.344736789786743
"administer",0.0463563674724927
"administration",0.0182901488113312
"administrators",0.0958005349848308
"admiral",0.0312290967548106
"admired",0.186803990687367
"admission",0.0950693390052731
"adobe",0.156233270314056
"adopt",0.0234281950233706
"adoption",0.0414940278236974
"adroit",0.39189689729359
"ads",0.076280392272651
"adult",0.0812298167665257
"advance",0.0352585160035123
"advanced",0.022160913971984
"advancement",0.0302474282775836
"advantage",0.0404436520663255
"advent",0.0246276060396325
